graph_index,n_vertices,n_edges,n_components,isolated_vertices,avg_degree,max_degree,density,is_bipartite,diameter,clique_number,avg_clustering,estimated_group_size,estimated_orbit_count,avg_hamming,min_hamming,max_hamming,hamming_1_count,hamming_gt1_count
146,32,10,22,15,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,2.1,1,5,3,7
147,32,10,22,18,0.625,3,0.020161290322580645,1,-1,2,0.0,8,4,2.4,1,5,2,8
148,32,8,24,18,0.5,3,0.016129032258064516,1,-1,2,0.0,8,3,1.875,1,3,3,5
149,32,6,26,24,0.375,2,0.012096774193548387,1,-1,2,0.0,8,3,2.3333333333333335,1,4,2,4
150,32,9,24,18,0.5625,2,0.018145161290322582,0,-1,3,0.09375,8,3,2.2222222222222223,1,5,3,6
151,32,7,25,22,0.4375,3,0.014112903225806451,1,-1,2,0.0,8,4,1.8571428571428572,1,5,4,3
152,32,8,24,21,0.5,3,0.016129032258064516,1,-1,2,0.0,8,4,1.875,1,5,5,3
153,32,9,23,19,0.5625,3,0.018145161290322582,1,-1,2,0.0,8,4,2.111111111111111,1,3,2,7
154,32,9,23,17,0.5625,3,0.018145161290322582,1,-1,2,0.0,8,4,2.2222222222222223,1,5,2,7
155,32,10,22,17,0.625,3,0.020161290322580645,1,-1,2,0.0,8,4,1.6,1,3,6,4
156,32,10,22,16,0.625,3,0.020161290322580645,1,-1,2,0.0,8,4,1.8,1,3,4,6
157,32,6,26,23,0.375,2,0.012096774193548387,1,-1,2,0.0,8,3,2.0,1,3,2,4
158,32,10,22,16,0.625,3,0.020161290322580645,1,-1,2,0.0,8,4,2.7,1,5,3,7
159,32,5,27,26,0.3125,2,0.010080645161290322,1,-1,2,0.0,8,3,2.4,1,4,1,4
160,32,5,27,24,0.3125,3,0.010080645161290322,1,-1,2,0.0,8,3,2.0,1,5,3,2
161,32,10,22,18,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,1.9,1,3,5,5
162,32,7,25,22,0.4375,3,0.014112903225806451,1,-1,2,0.0,8,4,1.8571428571428572,1,3,3,4
163,32,9,23,19,0.5625,2,0.018145161290322582,1,-1,2,0.0,8,3,2.3333333333333335,1,5,3,6
164,32,10,22,19,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,2.1,1,5,4,6
165,32,9,23,19,0.5625,3,0.018145161290322582,1,-1,2,0.0,8,4,1.8888888888888888,1,4,4,5
166,32,10,23,18,0.625,2,0.020161290322580645,0,-1,3,0.09375,8,3,2.6,1,5,2,8
167,32,10,22,18,0.625,3,0.020161290322580645,1,-1,2,0.0,8,4,2.7,1,5,1,9
168,32,8,24,20,0.5,3,0.016129032258064516,1,-1,2,0.0,8,4,1.75,1,3,3,5
169,32,10,23,15,0.625,2,0.020161290322580645,0,-1,3,0.09375,8,3,2.0,1,3,4,6
170,32,7,25,23,0.4375,3,0.014112903225806451,1,-1,2,0.0,8,4,1.4285714285714286,1,3,5,2
171,32,8,25,19,0.5,2,0.016129032258064516,0,-1,3,0.09375,8,3,1.875,1,3,4,4
172,32,8,24,20,0.5,3,0.016129032258064516,1,-1,2,0.0,8,3,2.0,1,3,3,5
173,32,8,24,21,0.5,2,0.016129032258064516,1,-1,2,0.0,8,3,2.5,1,5,2,6
